Parameter,Parameter Code
Cadmium PM10-2.5 STP,83110
Cadmium PM2.5 LC,88110
Cadmium PM2.5 STP,84110
Calcium (SP),22111
Calcium (TSP) LC,14111
Calcium (TSP) STP,12111
Calcium (precip),65314
Calcium PM10 LC,85111
Calcium PM10 STP,82111
Calcium PM10-2.5 LC,86111
Calcium PM10-2.5 STP,83111
Calcium PM2.5 LC,88111
Calcium PM2.5 STP,84111
Carbazole (TSP) STP,16772
Carbon Tetrafluoride,43827
Carbon black (TSP),16111
Carbon dioxide,42102
Carbon disulfide,42153
Carbon monoxide,42101
Carbon tetrachloride,43804
Cellulose (TSP),16320
Cerium (TSP) STP,12117
Cerium PM10-2.5 LC,86117
Cerium PM2.5 LC,88117
Cerium Pm10 Lc,85117
Cesium (TSP) STP,12118
Cesium PM10-2.5 LC,86118
Cesium PM2.5 LC,88118
Cesium Pm10 Lc,85118
Chloride (TSP) STP,12203
Chloride (precip),65316
Chloride PM10 STP,82203
Chloride PM2.5 LC,88203
Chloride(SP),22203
Chlorine,42215
Chlorine (TSP),13115
Chlorine (TSP) STP,12191
Chlorine PM10 LC,85115
Chlorine PM10 STP,82115
Chlorine PM10-2.5 LC,86115
Chlorine PM10-2.5 STP,83115
Chlorine PM2.5 LC,88115
Chlorine PM2.5 STP,84115
Chlorobenzene,45801
Chlorobenzilate  (TSP) STP,16773
Chlorodifluoromethane,43359
Chloroethane,43812
Chloroform,43803
Chloromethane,43801
Chloroprene,43835
Chromium (Precip),65112
Chromium (SP),22112
Chromium (TSP) LC,14112
Chromium (TSP) STP,12112
Chromium - 50 (TSP),11345
Chromium - 52 (TSP),11346
Chromium - 53 (TSP),11347
Chromium PM10 LC,85112
Chromium PM10 STP,82112
Chromium PM10-2.5 LC,86112
Chromium PM10-2.5 STP,83112
Chromium PM2.5 LC,88112
Chromium PM2.5 STP,84112
Chromium VI (TSP) LC,14115
Chromium VI (TSP) STP,12115
Chrysene (TSP) STP,17208
Cloud cover,66101
Coarse Mass Extinction PM2.5 LC,88342
Cobalt (TSP) LC,14113
Cobalt (TSP) STP,12113
Cobalt (precip),65113
Cobalt - 59 (TSP),11348
Cobalt PM10 LC,85113
Cobalt PM10 STP,82113
Cobalt PM10-2.5 LC,86113
Cobalt PM10-2.5 STP,83113
Cobalt PM2.5 LC,88113
Cobalt PM2.5 STP,84113
Conductance (SP),25303
Conductivity (precip),65303
Copper (SP),22114
Copper (TSP) STP,12114
Copper - 63 (TSP),11349
Copper PM10 LC,85114
Copper PM10 STP,82114
Copper PM10-2.5 LC,86114
Copper PM10-2.5 STP,83114
Copper PM2.5 LC,88114
Copper PM2.5 STP,84114
Copper(TSP) LC,14114
Copper(precip),65333
Coronene (TSP) STP,17211
Cristabalite,11122
Crotonaldehyde,43528
Crystalline quartz,11121
